nomebusca;url;coordenadas
Aldea el TablÃ³n, caserÃ­o central, sector la capilla a 100 mts de autorespuestos YaxÃ³n. SololÃ¡GuatemalaSOLOLÃ;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Carretera Interamericana km 327.5 ruta a La Mesilla, Aldea CamojÃ¡ Grande, Edificio Centrum CamojÃ¡GuatemalaCAMOJÃ GRANDE;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Km 188.5 a 300 mts de la moreria, San Cristobal Totonicapan, TotonicapÃ¡nGuatemalaTOTONICAPAN;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
9na calle 0-60 zona 7, Xela, QUETZGuatemalaQUETZALTENANGO;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
7 calle 18A-129 zona 5, San Marcos, SNMAGuatemalaSAN MARCOS;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Km 158 Carretera a Mazatenango, Centro Comercial Plaza AmÃ©ricas. Mazatenango, SUCHGuatemalaMAZATENANGO;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Avenida CircunvalaciÃ³n zona 1, Retalhuleu , REUGuatemalaRETALHULEU;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Final Ave. 20 de Octubre a 300 metros sobre la CA-2, ingreso a Coatepeque, zona 3 Coatepeque, QUETZGuatemalaCOATEPEQUE;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
1 calle y 5 ave zona 1 MalacatÃ¡n, San Marcos, SNMAGuatemalaMALACATÃN;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
Zone de Gros la Jambette, Le Lamentin 97232, MartinicaMARTINICALE LAMENTIN;https://www.google.com.br/maps/dir/Calzada+H%C3%83%C2%A9ctor+Augusto+Espa%C3%83+%C2%B1+a+Bracamonte/167.5+Chiquimula,+CHIQGuatemalaCHIQUIMULA/@14.6752748,-90.5260384,13z/data=!3m1!4b1?entry=ttu;14.6752748,-90.5260384,13
